,Hymn Number,Hymn Title,Hymn Text
209,210,"210. Lord, Why Have You Forsaken Me (Psalm 22)",
210,211,"211. Hear, O Lord, My Plea for Justice (Psalm 17)",
211,212, Alas! And Did My Savior Bleed," Alas! And did my Savior bleed,
and did my Sovereign die!
Would he devote that sacred head
for sinners such as I! Was it for sins that I have done
he suffered on the tree?
Amazing pity! Grace unknown!
And love beyond degree! Well might the sun in darkness hide
and shut its glories in,
when Christ, the great Redeemer, died
for human creatures' sin. But drops of grief can ne'er repay
the debt of love I owe;
here, Lord, I give myself away;
'tis all that I can do."
212,213, In the Cross of Christ I Glory," In the cross of Christ I glory,
towering o’er the wrecks of time;
all the light of sacred story
gathers round its head sublime. When the woes of life o’ertake me,
hopes deceive, and fears annoy,
never shall the cross forsake me;
lo, it glows with peace and joy. When the sun of bliss is beaming
light and love upon my way,
from the cross the radiance streaming
adds more luster to the day. Bane and blessing, pain and pleasure,
by the cross are sanctified;
peace is there that knows no measure,
joys that through all time abide. In the cross of Christ I glory,
towering o’er the wrecks of time;
all the light of sacred story
gathers round its head sublime."
213,214,"214. You Are My Refuge, Faithful God (Psalm 31)",
214,215, What Wondrous Love Is This," What wondrous love is this, O my soul, O my soul,
what wondrous love is this, O my soul!
What wondrous love is this that caused the Lord of bliss
to bear the dreadful curse for my soul, for my soul,
to bear the dreadful curse for my soul! When I was sinking down, sinking down, sinking down,
when I was sinking down, sinking down,
when I was sinking down beneath God's righteous frown,
Christ laid aside his crown for my soul, for my soul,
Christ laid aside his crown for my soul! To God and to the Lamb, I will sing, I will sing,
to God and to the Lamb, I will sing;
to God and to the Lamb who is the great I AM,
while millions join the theme, I will sing, I will sing;
while millions join the theme, I will sing! And when from death I’m free, I’ll sing on, I’ll sing on;
and when from death I’m free, I’ll sing on;
and when from death I’m free, I’ll sing and joyful be,
and through eternity, I’ll sing on, I’ll sing on;
and through eternity I’ll sing on."
215,216, Beneath the Cross of Jesus," Beneath the cross of Jesus
I fain would take my stand,
the shadow of a mighty rock
within a weary land;
a home within the wilderness,
a rest upon the way,
from the burning of the noontide heat,
and the burden of the day. Upon the cross of Jesus
mine eye at times can see
the very dying form of One
who suffered there for me;
and from my stricken heart with tears
two wonders I confess:
the wonders of redeeming love
and my unworthiness. I take, O cross, thy shadow
for my abiding place;
I ask no other sunshine than
the sunshine of his face;
content to let the world go by,
to know no gain or loss,
my sinful self my only shame,
my glory all the cross."
216,217,217. On a Barren Hilltop (Come Boldly),
217,218," Ah, Holy Jesus"," Ah, holy Jesus, how hast thou offended,
that we to judge thee have in hate pretended?
By foes derided, by thine own rejected,
O most afflicted! Who was the guilty? Who brought this upon thee?
Alas, my treason, Jesus, hath undone thee.
’Twas I, Lord Jesus, I it was denied thee;
I crucified thee. Lo, the Good Shepherd for the sheep is offered;
the slave hath sinned, and the Son hath suffered;
for our atonement, while we nothing heeded,
God interceded. For me, kind Jesus, was thine incarnation,
thy mortal sorrow, and thy life’s oblation,
thy death of anguish and thy bitter passion,
for my salvation. Therefore, kind Jesus, since I cannot pay thee,
I do adore thee, and will ever pray thee,
think on thy pity and thy love unswerving,
not my deserving."
218,219, They Crucified My Lord (He Never Said a Mumbalin’ Word)," They crucified my Lord,
and he never said a mumbalin’ word;
they crucified my Lord,
and he never said a mumbalin’ word.
Not a word, not a word, not a word. They nailed him to a tree,
and he never said a mumbalin’ word;
they nailed him to a tree,
and he never said a mumbalin’ word.
Not a word, not a word, not a word. They pierced him in the side,
and he never said a mumbalin’ word;
they pierced him in the side,
and he never said a mumbalin’ word.
Not a word, not a word, not a word. The blood came trickalin’ down,
and he never said a mumbalin’ word;
the blood came trickalin’ down,
and he never said a mumbalin’ word.
Not a word, not a word, not a word. He bowed his head and died,
and he never said a mumbalin’ word;
he bowed his head and died,
and he never said a mumbalin’ word.
Not a word, not a word, not a word."
219,220, Go to Dark Gethsemane," Go to dark Gethsemane,
all who feel the tempter’s power;
your Redeemer’s conflict see;
watch with him one bitter hour;
turn not from his griefs away;
learn from Jesus Christ to pray. Follow to the judgment hall;
view the Lord of life arraigned;
O the wormwood and the gall!
O the pangs his soul sustained!
Shun not suffering, shame, or loss;
learn from him to bear the cross. Calvary’s mournful mountain climb;
there, adoring at his feet,
mark that miracle of time,
God’s own sacrifice complete;
“It is finished!” hear him cry;
learn from Jesus Christ to die. Early hasten to the tomb
where they laid his breathless clay:
all is solitude and gloom.
Who has taken him away?
Christ is risen! He meets our eyes.
Savior, teach us so to rise."
220,221," O Sacred Head, Now Wounded"," O sacred head, now wounded,
with grief and shame weighed down;
now scornfully surrounded
with thorns, thine only crown;
O sacred head, what glory,
what bliss till now was thine!
Yet, though despised and gory,
I joy to call thee mine. What thou, my Lord, hast suffered
was all for sinners’ gain:
mine, mine was the transgression,
but thine the deadly pain.
Lo, here I fall, my Savior!
’Tis I deserve thy place;
look on me with thy favor,
and grant to me thy grace. What language shall I borrow
to thank thee, dearest friend,
for this thy dying sorrow,
thy pity without end?
O make me thine forever;
and should I fainting be,
Lord, let me never, never
outlive my love to thee."
221,222,222. Rejected and Despised,
222,223, When I Survey the Wondrous Cross," When I survey the wondrous cross
on which the Prince of glory died,
my richest gain I count but loss,
and pour contempt on all my pride. Forbid it, Lord, that I should boast,
save in the death of Christ my God;
all the vain things that charm me most,
I sacrifice them to his blood. See, from his head, his hands, his feet,
sorrow and love flow mingled down;
did e’er such love and sorrow meet,
or thorns compose so rich a crown? Were the whole realm of nature mine,
that were a present far too small;
love so amazing, so divine,
demands my soul, my life, my all."
223,224, When I Survey the Wondrous Cross," When I survey the wondrous cross
on which the Prince of glory died,
my richest gain I count but loss,
and pour contempt on all my pride. Forbid it, Lord, that I should boast,
save in the death of Christ my God;
all the vain things that charm me most,
I sacrifice them to his blood. See, from his head, his hands, his feet,
sorrow and love flow mingled down;
did e’er such love and sorrow meet,
or thorns compose so rich a crown? Were the whole realm of nature mine,
that were a present far too small;
love so amazing, so divine,
demands my soul, my life, my all."
224,225," Sing, My Tongue, the Glorious Battle"," Sing, my tongue, the glorious battle;
tell the triumph far and wide;
tell aloud the wondrous story
of the cross, the Crucified;
tell how Christ, the world's redeemer,
vanquished death the day he died. God in mercy saw us fallen,
sunk in shame and misery,
felled to death in Eden's garden,
where in pride we claimed the tree;
then another tree was chosen,
which the world from death would free. Tell how, when at length the fullness
of the appointed time was come,
Christ, the Word, was born of woman,
left for us the heavenly home,
blazed the path of true obedience,
shone as light amidst the gloom. Thirty years among us dwelling,
Jesus went from Nazareth,
destined, dedicated, willing,
did his work and met his death;
like a lamb he humbly yielded
on the cross his dying breath. Faithful cross, true sign of triumph,
be for all the noblest tree;
none in foliage, none in blossom,
none in fruit your equal be;
symbol of the world's redemption,
for your burden makes us free."
225,226,226. There in God’s Garden,
226,227,"227. Jesus, Remember Me",
227,228, Were You There," Were you there when they crucified my Lord? (Were you there?)
Were you there when they crucified my Lord?
O! Sometimes it causes me to tremble, tremble, tremble.
Were you there when they crucified my Lord? (Were you there?) Were you there when they nailed him to the tree? (Were you there?)
Were you there when they nailed him to the tree?
O! Sometimes it causes me to tremble, tremble, tremble.
Were you there when they nailed him to the tree? (Were you there?) Were you there when they pierced him in the side? (Were you there?)
Were you there when they pierced him in the side?
O! Sometimes it causes me to tremble, tremble, tremble.
Were you there when they pierced him in the side? (Were you there?) Were you there when the sun refused to shine? (Were you there?)
Were you there when the sun refused to shine?
O! Sometimes it causes me to tremble, tremble, tremble.
Were you there when the sun refused to shine? (Were you there?) Were you there when they laid him in the tomb? (Were you there?)
Were you there when they laid him in the tomb?
O! Sometimes it causes me to tremble, tremble, tremble.
Were you there when they laid him in the tomb? (Were you there?)pt. 6 Were you there when he rose up from the dead?"
228,229,229. In the Darkness of the Morning,
229,230, Joyful Is the Dark,"o view this media, please accept the license agreement:n order to use resources from the Hope Publishing Company, you must reside in the United States or Canada. Hope Publishing Company owns or administers the contents in these territories.
You may download one copy of this selection for your own personal use. To make any further copies or to perform the work you must get permission from Hope Publishing Company or belong to and report the copying activity to CCLI, LicenSing or OneLicense.net. By selecting ""I Agree"" you are verifying that you reside in the U.S. or Canada and will only legally use this selection."
230,231,231. Christ Has Risen While Earth Slumbers,
231,232, Jesus Christ Is Risen Today,"NGLISH:
1 Jesus Christ is risen today, Alleluia!
our triumphant holy day, Alleluia!
who did once upon the cross, Alleluia!
suffer to redeem our loss. Alleluia! Hymns of praise then let us sing, Alleluia!
unto Christ, our heavenly King, Alleluia!
who endured the cross and grave, Alleluia!
sinners to redeem and save. Alleluia! But the pains which he endured, Alleluia!
our salvation have procured. Alleluia!
Now above the sky he's King, Alleluia!
where the angels ever sing. Alleluia! Sing we to our God above, Alleluia!
praise eternal as God's love. Alleluia!
Praise our God, ye heavenly host, Alleluia!
Father, Son, and Holy Ghost. Alleluia!PANISH:
1 El Señor resucitó, ¡Aleluya!
muerte y tumba ya venció. ¡Aleluya!
Con su fuerza y su virtud ¡Aleluya!
cautivó la esclavitud. ¡Aleluya! El que al polvo se humilló, ¡Aleluya!
vencedor se levantó. ¡Aleluya!
Cante hoy la cristiandad ¡Aleluya!
su gloriosa majestad. ¡Aleluya! Cristo, que la cruz sufrió, ¡Aleluya!
y en desolación se vio, ¡Aleluya!
hoy en gloria celestial ¡Aleluya!
reina vivo e inmortal. ¡Aleluya! Cristo, nuestro Salvador, ¡Aleluya!
de la muerte es triunfador. ¡Aleluya!
En El hemos de confiar. ¡Aleluya!
Cantaremos sin cesar. ¡Aleluya!"
232,233, The Day of Resurrection!," The day of resurrection!
Earth, tell it out abroad,
the Passover of gladness,
the Passover of God.
From death to life eternal,
from sin’s dominion free,
our Christ has brought us over
with hymns of victory. Let hearts be purged of evil
that we may see aright
the Lord in rays eternal
of resurrection light,
and listening to his accents,
may hear, so calm and plain,
his own “All hail!” and hearing,
may raise the victor strain. Now let the heavens be joyful;
let earth its song begin;
the round world keep high triumph
and all that is therein.
Let all things seen and unseen
their notes of gladness blend,
for Christ the Lord has risen,
our joy that has no end."
233,234," Come, You Faithful, Raise the Strain"," Come, you faithful, raise the strain
of triumphant gladness!
God has brought forth Israel
into joy from sadness,
loosed from Pharaoh’s bitter yoke
Jacob’s sons and daughters;
led them with unmoistened foot
through the Red Sea waters. ’Tis the spring of souls today:
Christ has burst his prison,
and from three days’ sleep in death
as a sun has risen.
All the winter of our sins,
long and dark, is flying
from the Light, to whom we give
laud and praise undying. Now the queen of seasons, bright
with the day of splendor,
with the royal feast of feasts
comes its joy to render;
comes to glad Jerusalem,
who with true affection
welcomes in unwearied strains
Jesus’ resurrection! Neither could the gates of death,
nor the tomb’s dark portal,
nor the watchers, nor the seal
hold you as a mortal:
but today, among your own,
you appear, bestowing
your deep peace, which evermore
passes human knowing."
234,235," O Sons and Daughters, Let Us Sing","lleluia! Alleluia! Alleluia! Alleluia! O sons and daughters, let us sing
with heavenly hosts to Christ our King;
today the grave has lost its sting!
Alleluia! Alleluia! That night the apostles met in fear;
among them came their Lord most dear,
and said, “My peace be with you here.”
Alleluia! Alleluia! When Thomas first the tidings heard,
how they had seen the risen Lord,
he doubted the disciples’ word.
Alleluia! Alleluia! ""My pierced side, O Thomas, see;
and look upon my hands, my feet;
not faithless, but believing be.""
Alleluia! Alleluia! No longer Thomas then denied;
he saw the feet, the hands, the side;
""You are my Lord and God!"" he cried.
Alleluia! Alleluia! How blest are they who have not seen,
and yet whose faith has constant been,
for they eternal life shall win.
Alleluia! Alleluia!"
235,236, The Strife Is O’er,"efrain:
Alleluia, alleluia, alleluia! The strife is o'er, the battle done;
the victory of life is won;
the song of triumph has begun.
Alleluia! The powers of death have done their worst,
but Christ their legions hath dispersed:
let shouts of holy joy outburst.
Alleluia! The three sad days are quickly sped;
Christ rises glorious from the dead:
all glory to our risen Head!
Alleluia! Lord, by the stripes which wounded thee,
from death’s dread sting thy servants free,
that we may live, and sing to thee:
Alleluia! [Refrain]"
236,237,237. Christ Jesus Lay in Death’s Strong Bands,
237,238, Thine Is the Glory," Thine is the glory,
risen, conquering Son;
endless is the victory
thou o'er death hast won.
Angels in bright raiment
rolled the stone away,
kept the folded grave-clothes
where thy body lay.efrain:
Thine is the glory,
risen, conquering Son;
endless is the victory
thou o'er death hast won. Lo! Jesus meets us,
risen from the tomb;
lovingly he greets us,
scatters fear and gloom.
Let the church with gladness
hymns of triumph sing,
for the Lord now liveth;
death hath lost its sting. [Refrain] No more we doubt thee,
glorious Prince of life!
Life is naught without thee;
aid us in our strife.
Make us more than conquerors
through thy deathless love;
bring us safe through Jordan
to thy home above. [Refrain]"
238,239," Good Christians All, Rejoice and Sing!"," Good Christians all, rejoice and sing!
Now is the triumph of our King!
To all the world glad news we bring:
Alleluia! Alleluia! Alleluia! The Lord of life is risen today!
Death’s mighty stone is rolled away.
Let all the earth rejoice and say:
Alleluia! Alleluia! Alleluia! Praise we in songs of victory
that love, that life which cannot die,
and sing with hearts uplifted high:
Alleluia! Alleluia! Alleluia! Your name we bless, O risen Lord,
and sing today with one accord
the life laid down, the life restored:
Alleluia! Alleluia! Alleluia!"
239,240,"240. Alleluia, Alleluia! Give Thanks",
240,241," Woman, Weeping in the Garden","o view this media, please accept the license agreement:n order to use resources from the Hope Publishing Company, you must reside in the United States or Canada. Hope Publishing Company owns or administers the contents in these territories.
You may download one copy of this selection for your own personal use. To make any further copies or to perform the work you must get permission from Hope Publishing Company or belong to and report the copying activity to CCLI, LicenSing or OneLicense.net. By selecting ""I Agree"" you are verifying that you reside in the U.S. or Canada and will only legally use this selection."
241,242,242. Day of Delight and Beauty Unbounded,
242,243,243. Be Not Afraid,
243,244, This Joyful Eastertide," This joyful Eastertide,
away with sin and sorrow!
My love, the Crucified,
has sprung to life this morrow.efrain:
Had Christ, who once was slain,
not burst his three-day prison,
our faith had been in vain.
But now has Christ arisen,
arisen, arisen, arisen. My flesh in hope shall rest
and for a season slumber
till trump from east to west
shall wake the dead in number. [Refrain] Death's flood has lost its chill
since Jesus crossed the river.
Lover of souls, from ill
my passing soul deliver. [Refrain]"
244,245, Christ the Lord Is Risen Today!," ""Christ the Lord is risen today!"" Alleluia!
All creation, join to say: Alleluia!
Raise your joys and triumphs high, Alleluia!
Sing, O heavens, and earth reply, Alleluia! Love’s redeeming work is done, Alleluia!
Fought the fight, the battle won, Alleluia!
Death in vain forbids him rise, Alleluia!
Christ has opened paradise. Alleluia! Lives again our glorious King, Alleluia!
Where, O death, is now your sting? Alleluia!
Jesus died, our souls to save, Alleluia!
Where your victory, O grave? Alleluia! Hail the Lord of earth and heaven! Alleluia!
Praise to you by both be given, Alleluia!
Every knee to you shall bow, Alleluia!
Risen Christ, triumphant now. Alleluia!"
245,246, Christ Is Alive!," Christ is alive! Let Christians sing.
The cross stands empty to the sky.
Let streets and homes with praises ring.
Love, drowned in death, shall never die. Christ is alive! No longer bound
to distant years in Palestine,
but saving, healing, here and now,
and touching every place and time. In every insult, rift, and war
where color, scorn, or wealth divide,
Christ suffers still, yet loves the more,
and lives, where even hope has died. Women and men, in age and youth,
can feel the Spirit, hear the call,
and find the way, the life, the truth,
revealed in Jesus, freed for all. Christ is alive, and comes to bring
good news to this and every age,
till earth and sky and ocean ring
with joy, with justice, love, and praise."
246,247,247. Now the Green Blade Rises,
247,248, Christ Is Risen! Shout Hosanna!," Christ is risen! Shout Hosanna!
Celebrate this day of days!
Christ is risen! Hush in wonder:
all creation is amazed.
In the desert all-surrounding,
see, a spreading tree has grown.
Healing leaves of grace abounding
bring a taste of love unknown. Christ is risen! Raise your spirits
from the caverns of despair.
Walk with gladness in the morning.
See what love can do and dare.
Drink the wine of resurrection,
not a servant, but a friend.
Jesus is our strong companion.
Joy and peace shall never end. Christ is risen! Earth and heaven
nevermore shall be the same.
Break the bread of new creation
where the world is still in pain.
Tell its grim, demonic chorus:
""Christ is risen! Get you gone!""
God the First and Last is with us.
Sing Hosanna everyone!"
248,249," Because You Live, O Christ",
249,250, In the Bulb There Is a Flower (Hymn of Promise)," In the bulb there is a flower;
in the seed, an apple tree;
in cocoons, a hidden promise:
butterflies will soon be free!
In the cold and snow of winter
there’s a spring that waits to be,
unrevealed until its season,
something God alone can see. There’s a song in every silence,
seeking word and melody;
there’s a dawn in every darkness,
bringing hope to you and me.
From the past will come the future;
what it holds, a mystery,
unrevealed until its season,
something God alone can see. In our end is our beginning;
in our time, infinity;
in our doubt there is believing;
in our life, eternity.
In our death, a resurrection;
at the last, a victory,
unrevealed until its season,
something God alone can see."
250,251,"251. Christ Has Arisen, Alleluia",
251,252,252. Day of Arising,
252,253,253. Alleluia! Christ Is Arisen (¡Aleluya! Cristo resucitó),
253,254, That Easter Day with Joy Was Bright," That Easter day with joy was bright;
the sun shone out with fairer light
when, to their longing eyes restored,
the apostles saw their risen Lord. He bade them see his hands, his side,
where yet the glorious wounds abide,
the tokens true which made it plain
their Lord indeed was risen again. From every weapon death can wield,
your own redeemed forever shield;
O Lord of all, with us abide
in this our joyful Eastertide."
254,255," O Sons and Daughters, Let Us Sing","lleluia! Alleluia! Alleluia! Alleluia! O sons and daughters, let us sing
with heavenly hosts to Christ our King;
today the grave has lost its sting!
Alleluia! Alleluia! That night the apostles met in fear;
among them came their Lord most dear,
and said, “My peace be with you here.”
Alleluia! Alleluia! When Thomas first the tidings heard,
how they had seen the risen Lord,
he doubted the disciples’ word.
Alleluia! Alleluia! ""My pierced side, O Thomas, see;
and look upon my hands, my feet;
not faithless, but believing be.""
Alleluia! Alleluia! No longer Thomas then denied;
he saw the feet, the hands, the side;
""You are my Lord and God!"" he cried.
Alleluia! Alleluia! How blest are they who have not seen,
and yet whose faith has constant been,
for they eternal life shall win.
Alleluia! Alleluia!"
255,256,256. These Things Did Thomas Count as Real,
256,257,257. The Risen Christ,
257,258,258. A Hymn of Glory Let Us Sing!,
258,259, The God of Heaven (Psalm 29),"o view this media, please accept the license agreement:n order to use resources from the Hope Publishing Company, you must reside in the United States or Canada. Hope Publishing Company owns or administers the contents in these territories.
You may download one copy of this selection for your own personal use. To make any further copies or to perform the work you must get permission from Hope Publishing Company or belong to and report the copying activity to CCLI, LicenSing or OneLicense.net. By selecting ""I Agree"" you are verifying that you reside in the U.S. or Canada and will only legally use this selection."
259,260, Alleluia! Sing to Jesus," Alleluia! Sing to Jesus;
his the scepter, his the throne;
Alleluia! his the triumph,
his the victory alone!
Hark! The songs of peaceful Zion
thunder like a mighty flood:
""Jesus out of every nation
has redeemed us by his blood."" Alleluia! Not as orphans
are we left in sorrow now;
Alleluia! he is near us;
faith believes nor questions how.
Though the cloud from sight received him,
when the forty days were o'er,
shall our hearts forget his promise:
""I am with you evermore""? Alleluia! Bread of angels,
here on earth our food, our stay;
Alleluia! here the sinful
flee to you from day to day.
Intercessor, friend of sinners,
earth's redeemer, hear our plea
where the songs of all the sinless
sweep across the crystal sea. Alleluia! King eternal,
Lord omnipotent we own;
Alleluia! born of Mary,
earth your footstool, heaven your throne.
As within the veil you entered,
robed in flesh, our great high priest;
here on earth both priest and victim
in the eucharistic feast."
260,261,"261. Peoples, Clap Your Hands! (Psalm 47)",
261,262," Since Our Great High Priest, Christ Jesus"," Since our great high priest, Christ Jesus,
bears the name above all names,
reigning Son of God, surpassing
other titles, powers, and claims;
since to heaven our Lord has passed,
let us hold our witness fast! Since we have a priest who suffered,
knowing weakness, tears, and pain,
who, like us, was tried and tempted,
unlike us, without a stain;
since he shared our lowly place,
let us boldly seek his grace. Sacrifice and suffering over,
now he sits at God's right hand,
crowned with praise, no more an outcast,
his preeminence long planned;
such a great high priest we have,
strong to help, supreme to save. Love's example, hope's attraction,
faith's beginning and its end,
pioneer of our salvation,
mighty advocate and friend:
Jesus, high in glory raised,
our ascended Lord, be praised!"
262,263, All Hail the Power of Jesus’ Name!," All hail the power of Jesus' name!
Let angels prostrate fall;
bring forth the royal diadem,
and crown him Lord of all!
Bring forth the royal diadem,
and crown him Lord of all! Ye chosen seed of Israel's race,
ye ransomed from the fall,
hail him who saves you by his grace,
and crown him Lord of all!
Hail him who saves you by his grace,
and crown him Lord of all! Let every kindred, every tribe
on this terrestrial ball
to him all majesty ascribe,
and crown him Lord of all!
To him all majesty ascribe,
and crown him Lord of all! O that with yonder sacred throng
we at his feet may fall!
We'll join the everlasting song,
and crown him Lord of all!
We'll join the everlasting song,
and crown him Lord of all!"
263,264, At the Name of Jesus," At the name of Jesus
every knee shall bow,
every tongue confess him
King of glory now;
'tis the Father's pleasure
we should call him Lord,
who from the beginning
was the mighty Word. Humbled for a season
to receive a name
from the lips of sinners
unto whom he came,
faithfully he bore it
spotless to the last,
brought it back victorious,
when from death he passed; Bore it up triumphant,
with its human light,
through all ranks of creatures,
to the central height,
to the throne of Godhead,
to the Father's breast,
filled it with the glory
of that perfect rest. Christians, this Lord Jesus
shall return again,
with his Father's glory
o'er the earth to reign;
for all wreaths of empire
meet upon his brow,
and our hearts confess him
King of glory now."
264,265, Jesus Shall Reign Where’er the Sun," Jesus shall reign where'er the sun
does its successive journeys run;
his kingdom stretch from shore to shore,
till moons shall wax and wane no more. To him shall endless prayer be made,
and praises throng to crown his head;
his name, like sweet perfume, shall rise
with every morning sacrifice. People and realms of every tongue
dwell on his love with sweetest song,
and infant voices shall proclaim
their early blessings on his name. Blessings abound where'er he reigns:
the prisoners leap to loose their chains;
the weary find eternal rest,
and all who suffer want are blest. Let every creature rise and bring
honors peculiar to our King;
angels descend with songs again,
and earth repeat the loud Amen!"
265,266, Joy to the World," Joy to the world, the Lord is come!
Let earth receive her king;
let every heart prepare him room,
and heaven and nature sing. Joy to the earth, the Savior reigns!
Let all their songs employ,
while fields and floods, rocks, hills, and plains
repeat the sounding joy. No more let sins and sorrows grow,
nor thorns infest the ground;
he comes to make his blessings flow
far as the curse is found. He rules the world with truth and grace,
and makes the nations prove
the glories of his righteousness
and wonders of his love."
266,267," Come, Christians, Join to Sing"," Come, Christians, join to sing:
Alleluia! Amen!
Loud praise to Christ our King:
Alleluia! Amen!
Let all, with heart and voice,
before his throne rejoice;
praise is his gracious choice:
Alleluia! Amen! Come, lift your hearts on high:
Alleluia! Amen!
Let praises fill the sky:
Alleluia! Amen!
He is our guide and friend;
to us he'll condescend;
his love shall never end:
Alleluia! Amen! Praise yet our Christ again:
Alleluia! Amen!
Life shall not end the strain:
Alleluia! Amen!
On heaven's blissful shore
his goodness we'll adore,
singing forevermore:
Alleluia! Amen!"
267,268, Crown Him with Many Crowns," Crown him with many crowns,
the Lamb upon his throne;
hark, how the heavenly anthem drowns
all music but its own!
Awake, my soul, and sing
of him who died for thee,
and hail him as thy matchless King
through all eternity. Crown him the Lord of love;
behold his hands and side,
rich wounds, yet visible above,
in beauty glorified:
no angel in the sky
can fully bear that sight,
but downward bends his burning eye
at mysteries so bright. Crown him the Lord of peace,
whose power a scepter sways
from pole to pole, that wars may cease,
absorbed in prayer and praise.
His reign shall know no end;
and round his pierced feet
fair flowers of paradise extend
their fragrance ever sweet. Crown him the Lord of years,
the potentate of time;
creator of the rolling spheres,
ineffably sublime.
All hail, Redeemer, hail!
For thou hast died for me;
thy praise shall never, never fail
throughout eternity."
268,269," Lead On, O King Eternal!"," Lead on, O King eternal!
The day of march has come;
henceforth in fields of conquest
your tents shall be our home.
Through days of preparation
your grace has made us strong,
and now, O King eternal,
we lift our battle song. Lead on, O King eternal,
till sin's fierce war shall cease,
and holiness shall whisper
the sweet amen of peace;
for not with swords' loud clashing,
nor roll of stirring drums;
with deeds of love and mercy
the heavenly kingdom comes. Lead on, O King eternal:
we follow, not with fears,
for gladness breaks like morning
where'er your face appears;
your cross is lifted o'er us;
we journey in its light.
The crown awaits the conquest;
lead on, O God of might!"
269,270," O Lord, You Are My God and King (Psalm 145)"," O Lord, you are my God and King,
and I will ever bless your name;
I will extol you every day,
and evermore your praise proclaim.
You, Lord, are greatly to be praised;
your greatness is beyond our thought;
all generations shall tell forth
the mighty wonders you have wrought. How rich in grace are you, O Lord,
full of compassion, merciful,
your anger always slow to rise;
your steadfast love you show to all,
for you are good in all your ways;
your creatures know your constant care.
To all your works your love extends;
all souls your tender mercies share. Your works will give you thanks, O Lord;
your saints your mighty acts will show,
till all the peoples of the earth
your kingdom, power, glory know.
Eternal is your kingdom, Lord,
forever strong, forever sure;
while generations rise and die,
your high dominion will endure."
270,271, The Lord Almighty Reigns (Psalm 93)," The Lord Almighty reigns
in majesty most bright,
appareled in omnipotence,
and girded round with might. The world established stands
on its foundations broad;
your throne is fixed, you reign supreme,
the everlasting God. The seas have lifted up
their voice in majesty,
but God on high, supreme in might,
is greater than the sea. Your testimonies, Lord,
in faithfulness excel,
and holy must your servants be
who in your temple dwell."
271,272," God, You Rule with Royal Bearing (Psalm 93)"," God, you rule with royal bearing,
clothed in glory, love, and light:
you have robed yourself majestic,
robed yourself with power and might.
Hallelujah!
Hallelujah!
Hallelujah!
God who rules in depth and height!
God who rules in depth and height! In its everlasting station
earth is fixed to quake no more;
you have laid your throne’s foundation;
you yourself are evermore.
Hallelujah!
Hallelujah!
Hallelujah!
God, you are forevermore!
God, you are forevermore! With all tones of water blending,
glorious is the breaking deep;
glorious, beauteous, without ending,
God, who reigns on heaven’s high steep.
Hallelujah!
Hallelujah!
Hallelujah!
Songs of ocean never sleep.
Songs of ocean never sleep. God, the words your lips are telling
are the perfect and the true.
In your high eternal dwelling,
holiness shall live with you.
Hallelujah!
Hallelujah!
Hallelujah!
God, your word is ever true.
God, your word is ever true."
272,273, He Is King of Kings,"efrain:
He is King of kings;
he is Lord of lords,
Jesus Christ, the first and last,
no one works like him.
O he is King of kings;
he is Lord of lords,
Jesus Christ, the first and last,
no one works like him. He built his throne up in the air;
no one works like him;
and called his saints from everywhere;
no one works like him.
O he is King of kings;
he is Lord of lords,
Jesus Christ, the first and last,
no one works like him. [Refrain] He pitched his tents on Canaan ground;
no one works like him;
and broke oppressive kingdoms down;
no one works like him.
O he is King of kings;
he is Lord of lords,
Jesus Christ, the first and last,
no one works like him. [Refrain] I know that my Redeemer lives;
no one works like him;
and by his love sweet blessing gives;
no one works like him.
O he is King of kings;
he is Lord of lords,
Jesus Christ, the first and last,
no one works like him. [Refrain]"
273,274,"274. You, Lord, Are Both Lamb and Shepherd",
274,275, A Mighty Fortress Is Our God," A mighty fortress is our God,
a bulwark never failing.
Our helper he, amid the flood
of mortal ills prevailing.
For still our ancient foe
doth seek to work us woe.
His craft and power are great,
and armed with cruel hate,
on earth is not his equal. Did we in our own strength confide,
our striving would be losing,
were not the right man on our side,
the man of God's own choosing.
Dost ask who that may be?
Christ Jesus, it is he.
Lord Sabaoth his name,
from age to age the same,
and he must win the battle. And though this world, with devils filled,
should threaten to undo us,
we will not fear, for God hath willed
his truth to triumph through us.
The Prince of Darkness grim,
we tremble not for him.
His rage we can endure,
for lo, his doom is sure.
One little word shall fell him. That word above all earthly powers,
no thanks to them, abideth.
The Spirit and the gifts are ours
through him who with us sideth.
Let goods and kindred go,
this mortal life also.
The body they may kill;
God's truth abideth still.
His kingdom is forever."
275,276,276. Sing a New Song unto the Lord (Psalm 98),
276,277,"277. Hail Thee, Festival Day!",
277,278," Come, Holy Ghost, Our Souls Inspire"," Come, Holy Ghost, our souls inspire,
and lighten with celestial fire;
thou the anointing Spirit art,
who dost thy seven-fold gifts impart. Thy blessed unction from above
is comfort, life, and fire of love;
enable with perpetual light
the dullness of our mortal sight. Teach us to know the Father, Son,
and thee, of both, to be but one,
that through the ages all along
this may be our endless song: Praise to thine eternal merit,
Father, Son, and Holy Spirit.
Amen."
